Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,57.19,57.19,57.19,02-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,57.33,57.33,57.33,03-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,57.57,57.57,57.57,06-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,57.52,57.52,57.52,07-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,57.50,57.50,57.50,08-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,57.52,57.52,57.52,09-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,57.52,57.52,57.52,10-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,58.23,58.23,58.23,14-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,58.48,58.48,58.48,15-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,58.93,58.93,58.93,16-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,58.92,58.92,58.92,17-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,58.83,58.83,58.83,20-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,58.90,58.90,58.90,21-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,58.52,58.52,58.52,22-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,58.98,58.98,58.98,23-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,59.27,59.27,59.27,24-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,59.35,59.35,59.35,27-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,59.52,59.52,59.52,28-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,60.37,60.37,60.37,29-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,60.69,60.69,60.69,30-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,60.90,60.90,60.90,31-Mar-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.12,61.12,61.12,03-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.47,61.47,61.47,05-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.43,61.43,61.43,06-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.13,61.13,61.13,07-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.47,61.47,61.47,10-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.73,61.73,61.73,11-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.55,61.55,61.55,12-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.38,61.38,61.38,13-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.39,61.39,61.39,17-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.12,61.12,61.12,18-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.29,61.29,61.29,19-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.80,61.80,61.80,20-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,61.90,61.90,61.90,21-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,62.40,62.40,62.40,24-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,63.12,63.12,63.12,25-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,63.15,63.15,63.15,26-Apr-2017
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,63.03,63.03,63.03,27-Apr-2017
